1<>down<>general<>A play, starting when the ball is put into play and ending when the ball is ruled dead
2<>drive<>general<>The series of plays when the offense has the football, until it punts or scores and the other team gets possession of the ball.
3<>field goal<>event<>A kick, worth three points
4<>fumble<>event<>The act of losing possession of the ball while running with it or being tackled.
5<>turnover<>event<>A loss of possession of the ball via a fumble or interception.
6<>incomplete pass<>general<>A pass that touches the ground before being caught or that is caught while the player is out of bounds
7<>interception<>event<>A pass that's caught by a defensive player, ending the offense's possession of the ball.
8<>kickoff<>event<>A free kick that puts the ball into play.
9<>punt<>general<>A kick made when a punter drops the ball and kicks it while it falls toward his foot.
10<>return<>general<>The act of bringing the ball back in the opposite direction after a change of possession.
11<>rush<>event<>To advance the ball by running, not passing
12<>sack<>event<>Any tackle of the quarterback behind the line of scrimmage.
13<>touchdown<>event<>A scoring play, worth 6 points
14<>extra point<>event<>A kick, worth one point, that's typically attempted after every touchdown
15<>false start<>event<>An infraction in which an offensive player moves before the ball is snapped.
16<>timeout<>general<>A break in action requested by either team or one of the officials.
17<>Usua Amanam<>player<>
18<>Henry Anderson<>player<>
19<>Kevin Anderson<>player<>
20<>Brendon Austin<>player<>
21<>Harold Bernard<>player<>
22<>Dillon Bonnell<>player<>
23<>Terrence Brown<>player<>
24<>Barry Browning<>player<>
25<>Devon Cajuste<>player<>
26<>Lance Callihan<>player<>
27<>Devon Carrington<>player<>
28<>Alex Carter<>player<>
29<>Johnny Caspers<>player<>
30<>Conner Crane<>player<>
31<>Evan Crower<>player<>
32<>Jackson Cummings<>player<>
33<>Kevin Danser<>player<>
34<>Nick Davidson<>player<>
35<>Noor Davis<>player<>
36<>Alex Debniak<>player<>
37<>Davis Dudchock<>player<>
38<>Zach Ertz<>player<>
39<>Brent Etiz<>player<>
40<>John Flacco<>player<>
41<>Cameron Fleming<>player<>
42<>Alex Frkovic<>player<>
43<>George Fullerton<>player<>
44<>Chris Gaertner<>player<>
45<>Ben Gardner<>player<>
46<>Joshua Garnett<>player<>
47<>Brandon Gottfried<>player<>
48<>Jacob Gowan<>player<>
49<>Chris Harrell<>player<>
50<>Ronnie Harris<>player<>
51<>Anthony Hayes<>player<>
52<>Joe Hemschoot<>player<>
53<>Ryan Hewitt<>player<>
54<>Zach Hoffpauir<>player<>
55<>Kevin Hogan<>player<>
56<>Charlie Hopkins<>player<>
57<>Craig Jones<>player<>
58<>Dontonio Jordan<>player<>
59<>Matt Kasner<>player<>
60<>Luke Kaumatule<>player<>
61<>Sam Knapp<>player<>
62<>Gautam Krishnamurthi<>player<>
63<>Cason Kynes<>player<>
64<>Jarek Lancaster<>player<>
65<>Dallas Lloyd<>player<>
66<>Nate Lohn<>player<>
67<>Blake Lueders<>player<>
68<>Wayne Lyons<>player<>
69<>Drew Madhu<>player<>
70<>Blake Martinez<>player<>
71<>Josh Mauro<>player<>
72<>Conor McFadden<>player<>
73<>Geoff Meinken<>player<>
74<>Sam Mercer<>player<>
75<>Reed Miller<>player<>
76<>Ty Montgomery<>player<>
77<>Brian Moran<>player<>
78<>Myles Muagututia<>player<>
